price,airline,departure,return,Origin,Destination
55,Wizz Air,2022-04-20T19:25:00+02:00,2022-04-21T10:55:00+02:00,Madrid,Rome
65,Ryanair,2022-04-23T12:55:00+02:00,2022-04-25T07:50:00+02:00,Madrid,Rome
